Pressure,Percent,StDev,ID
0.1,32.25,11.3,RT_F1
20,23.32,8.13,RT_F1
40,22.78,9.99,RT_F1
60,21.35,6.71,RT_F1
80,16.08,8.03,RT_F1
100,9.62,5,RT_F1
120,7.47,3.68,RT_F1
120,7.47,3.68,RT_F2
100,11.13,3.11,RT_F2
80,12.15,4.38,RT_F2
60,13.45,3.56,RT_F2
40,13.06,3.34,RT_F2
20,13.43,3.69,RT_F2
0.1,19.04,4.08,RT_F2
