Pressure,Fraction,StDev,id
0.1,0.6219,0.0874,RT_F1
20,0.5769,0.1001,RT_F1
40,0.5078,0.0798,RT_F1
60,0.43,0.0975,RT_F1
80,0.1187,0.0596,RT_F1
80,0.1187,0.0596,RT_F2
60,0.2706,0.1033,RT_F2
40,0.594,0.0747,RT_F2
20,0.7518,0.0863,RT_F2
0.1,0.8007,0.0676,RT_F2
0.1,0.4362,0.1047,7C_F1
20,0.5188,0.1235,7C_F1
40,0.423,0.1289,7C_F1
60,0.0963,0.0892,7C_F1
60,0.0963,0.0892,7C_F2
40,0.1343,0.0678,7C_F2
20,0.2974,0.0136,7C_F2
0.1,0.4133,0.1581,7C_F2
