Pressure,Percent,StDev,ID
0.1,62.19,8.74,RT_F1
20,57.69,10.01,RT_F1
40,50.78,7.98,RT_F1
60,43,9.75,RT_F1
80,11.87,5.96,RT_F1
80,11.87,5.96,RT_F2
60,27.06,10.33,RT_F2
40,59.4,7.47,RT_F2
20,75.18,8.63,RT_F2
0.1,80.07,6.76,RT_F2
0.1,43.62,10.47,7C_F1
20,51.88,12.35,7C_F1
40,42.3,12.89,7C_F1
60,9.63,8.92,7C_F1
60,9.63,8.92,7C_F2
40,13.43,6.78,7C_F2
20,29.74,1.36,7C_F2
0.1,41.33,15.81,7C_F2
