Pressure,Speed,StDev,ID
0.1,37.9971,10.3861,RT_F1
20,35.4504,12.7772,RT_F1
40,35.0127,9.2399,RT_F1
60,29.0987,7.4605,RT_F1
80,22.2225,4.4928,RT_F1
100,13.4908,2.8165,RT_F1
120,9.5343,1.8474,RT_F1
120,9.5343,1.8474,RT_F2
100,11.9299,1.8082,RT_F2
80,13.2907,2.7301,RT_F2
60,18.8976,4.4447,RT_F2
40,27.1505,8.2598,RT_F2
20,28.5231,9.226,RT_F2
0.1,37.4984,10.5578,RT_F2
