Pressure,Speed,StDev,ID
0.1,26.5305,7.6711,RT_F1
20,24.0823,9.2651,RT_F1
40,19.5902,7.9535,RT_F1
60,13.2752,4.0145,RT_F1
80,10.8867,4.3515,RT_F1
80,10.8867,4.3515,RT_F2
60,13.5721,4.0665,RT_F2
40,18.869,5.9604,RT_F2
20,22.6804,5.76,RT_F2
0.1,24.2379,7.0552,RT_F2
0.1,12.8832,6.6706,7C_F1
20,11.1522,4.5123,7C_F1
40,9.3196,2.7279,7C_F1
60,6.4692,1.8559,7C_F1
60,6.4692,1.8559,7C_F2
40,7.8659,1.5568,7C_F2
20,9.7252,4.6963,7C_F2
0.1,11.3606,2.9344,7C_F2
