Pressure,Fraction,StDev,id
0.1,0.3225,0.1130,RT_F1
20,0.2332,0.0813,RT_F1
40,0.2278,0.0999,RT_F1
60,0.2135,0.0671,RT_F1
80,0.1608,0.0803,RT_F1
100,0.0962,0.0500,RT_F1
120,0.0747,0.0368,RT_F1
120,0.0747,0.0368,RT_F2
100,0.1113,0.0311,RT_F2
80,0.1215,0.0438,RT_F2
60,0.1345,0.0356,RT_F2
40,0.1306,0.0334,RT_F2
20,0.1343,0.0369,RT_F2
0.1,0.1904,0.0408,RT_F2
