Time,Value,Period,Replicate
-30,26,Before,R1
-30,45.9,Before,R1
-30,29.1,Before,R1
-30,51.7,Before,R1
-30,48.3,Before,R1
-30,49.3,Before,R1
-30,51.8,Before,R1
-30,47,Before,R1
-30,56.7,Before,R1
-30,37.4,Before,R1
-30,49.9,Before,R2
-30,37.8,Before,R2
-30,56.3,Before,R2
-30,31.2,Before,R2
-30,45.4,Before,R2
-30,62.7,Before,R2
-30,55.8,Before,R2
-30,56.7,Before,R2
-30,38.05,Before,R2
-30,49.1,Before,R2
-30,59.7,Before,R3
-30,46.6,Before,R3
-30,47.4,Before,R3
-30,60.6,Before,R3
-30,38.9,Before,R3
-30,46.6,Before,R3
-30,44.3,Before,R3
-30,46.8,Before,R3
-30,40.9,Before,R3
-30,44.4,Before,R3
-10,9.852,During,R1
-10,14.756,During,R1
-10,10.883,During,R1
-10,9.803,During,R1
-10,11.573,During,R1
-10,9.463,During,R1
-10,8.684,During,R1
-10,6.702,During,R1
-10,18.312,During,R1
-10,18.27,During,R1
-10,7.748,During,R2
-10,13.977,During,R2
-10,7.331,During,R2
-10,14.607,During,R2
-10,11.591,During,R2
-10,11.409,During,R2
-10,11.676,During,R2
-10,11.934,During,R2
-10,13.12,During,R2
-10,5.922,During,R2
-10,12.727,During,R3
-10,17.208,During,R3
-10,11.088,During,R3
-10,16.506,During,R3
-10,9.559,During,R3
-10,14.756,During,R3
-10,12.802,During,R3
-10,14.35,During,R3
-10,15.913,During,R3
-10,14.917,During,R3
0,12.314,After,R1
0,12.91,After,R1
0,6.286,After,R1
0,7.152,After,R1
0,6.805,After,R1
0,16.904,After,R2
0,21.031,After,R2
0,6.112,After,R2
0,5.777,After,R2
0,8.92,After,R2
0,12.63,After,R3
0,16.96,After,R3
0,15.7,After,R3
0,25.94,After,R3
0,16.96,After,R3
5,12.466,After,R1
5,11.056,After,R1
5,13.605,After,R1
5,8.03,After,R1
5,10.225,After,R1
5,23.234,After,R2
5,15.242,After,R2
5,24.948,After,R2
5,18.693,After,R2
5,10.094,After,R2
5,19.105,After,R3
5,36.311,After,R3
5,27.712,After,R3
5,17.004,After,R3
5,19.288,After,R3
10,14.385,After,R1
10,31.127,After,R1
10,30.471,After,R1
10,14.604,After,R1
10,22.679,After,R1
10,27.793,After,R2
10,21.817,After,R2
10,11.065,After,R2
10,21.286,After,R2
10,21.885,After,R2
10,25.817,After,R3
10,16.092,After,R3
10,20.808,After,R3
10,48.808,After,R3
10,24.341,After,R3
20,30.088,After,R1
20,13.991,After,R1
20,16.277,After,R1
20,21.499,After,R1
20,20.413,After,R1
20,26.89,After,R2
20,20.413,After,R2
20,29.903,After,R2
20,31.559,After,R2
20,14.121,After,R2
20,24.184,After,R3
20,45.454,After,R3
20,30.461,After,R3
20,30.327,After,R3
20,26.195,After,R3
30,43.939,After,R1
30,24.145,After,R1
30,44.229,After,R1
30,14.892,After,R1
30,24.739,After,R1
30,21.755,After,R2
30,47.579,After,R2
30,29.656,After,R2
30,29.499,After,R2
30,39.442,After,R2
30,31.561,After,R3
30,24.827,After,R3
30,28.261,After,R3
30,52.215,After,R3
30,36.3,After,R3
40,34.352,After,R1
40,23.235,After,R1
40,36.47,After,R1
40,40.483,After,R1
40,22.19,After,R1
40,29.188,After,R2
40,21.766,After,R2
40,24.959,After,R2
40,42.576,After,R2
40,45.853,After,R2
40,21.541,After,R3
40,37.331,After,R3
40,27.249,After,R3
40,23.254,After,R3
40,37.32,After,R3
90,30.636,After,R1
90,42.946,After,R1
90,27.931,After,R1
90,32.535,After,R1
90,41.49,After,R1
90,35.643,After,R2
90,36.483,After,R2
90,28.439,After,R2
90,44.983,After,R2
90,32.331,After,R2
90,23.1,After,R3
90,48.28,After,R3
90,42.836,After,R3
90,31.361,After,R3
90,28.882,After,R3
